Sample Index, EXG Channel 0
0,-4319.0
2,-3645.0
2,-4332.0
2,-3891.0
3,-3862.0
3,-3959.0
3,-4238.0
3,-4319.0
3,123456789.0
7,343.0
7,-336.0
8,-193.0
8,-264.0
9,203.0
9,400.0
9,-209.0
9,-334.0
10,-325.0
10,-236.0
10,-43.0
10,-338.0
10,201.0
11,-302.0
11,-637.0
12,-232.0
13,-465.0
14,-198.0
14,-183.0
15,-364.0
15,-197.0
16,-236.0
16,-195.0
16,-186.0
16,-283.0
17,-430.0
17,-963.0
17,-374.0
18,-443.0
18,-288.0
18,-321.0
18,-400.0
19,7.0
19,-566.0
19,-327.0
19,-234.0
20,-149.0
20,-280.0
20,-721.0
20,-262.0
21,-111.0
21,-366.0
21,-71.0
21,-858.0
22,-257.0
22,94.0
22,-193.0
22,-400.0
22,-661.0
23,-342.0
23,-421.0
23,-418.0
23,191.0
24,-492.0
24,17.0
24,-140.0
24,-221.0
25,106.0
25,-279.0
25,-302.0
26,-33.0
26,-410.0
26,-179.0
26,-606.0
27,23.0
27,-146.0
27,-859.0
27,-330.0
27,-437.0
28,-256.0
28,-43.0
28,-564.0
28,-7.0
28,-432.0
29,-9.0
29,-16.0
29,-241.0
29,-224.0
29,-127.0
29,-22.0
30,-155.0
30,-618.0
30,-381.0
30,-272.0
30,-289.0
31,66.0
31,-245.0
31,-110.0
31,-487.0
31,10.0
32,-67.0
32,-544.0
32,-51.0
32,-494.0
33,-267.0
33,42.0
33,-439.0
34,-376.0
34,11.0
35,-256.0
35,-171.0
35,-462.0
35,-245.0
35,-412.0
36,-241.0
36,-18.0
36,-799.0
36,-272.0
37,-147.0
37,-104.0
37,-17.0
37,-514.0
38,-55.0
38,-6.0
38,-105.0
38,-48.0
39,-295.0
39,-154.0
39,-173.0
39,-276.0
39,273.0
40,-56.0
40,583.0
40,-344.0
40,13.0
41,432.0
41,-73.0
41,430.0
42,125.0
42,190.0
42,621.0
42,64.0
42,133.0
43,-52.0
43,-59.0
43,690.0
43,365.0
44,444.0
44,179.0
44,294.0
44,515.0
44,-84.0
45,211.0
45,216.0
45,301.0
45,764.0
45,-35.0
46,282.0
46,137.0
46,58.0
46,157.0
46,-12.0
47,43.0
47,20.0
47,225.0
47,550.0
47,-43.0
48,404.0
48,209.0
48,540.0
48,443.0
48,166.0
48,585.0
49,642.0
49,287.0
49,542.0
50,295.0
50,852.0
50,233.0
50,70.0
51,587.0
51,-56.0
51,365.0
51,240.0
52,363.0
52,930.0
52,111.0
52,160.0
52,63.0
53,180.0
53,177.0
53,-238.0
53,493.0
54,272.0
54,253.0
54,440.0
54,-109.0
54,634.0
55,535.0
55,60.0
55,723.0
56,212.0
56,545.0
56,210.0
57,281.0
57,454.0
57,121.0
58,542.0
58,723.0
58,340.0
58,569.0
59,22.0
59,297.0
59,-60.0
59,97.0
59,532.0
60,11.0
60,86.0
60,397.0
60,98.0
61,353.0
61,130.0
61,205.0
62,482.0
62,515.0
62,700.0
62,159.0
62,428.0
63,153.0
63,346.0
63,335.0
63,106.0
63,387.0
64,408.0
64,67.0
64,730.0
64,-27.0
64,210.0
65,17.0
65,204.0
65,573.0
65,-250.0
65,149.0
66,-396.0
67,-59.0
68,0.0
69,165.0
70,98.0
70,85.0
71,-132.0
71,169.0
72,-100.0
72,-111.0
72,-62.0
73,55.0
73,516.0
73,-89.0
74,-92.0
74,253.0
74,-26.0
74,253.0
75,-334.0
75,-363.0
76,-132.0
76,-31.0
76,238.0
77,-13.0
77,326.0
77,467.0
77,44.0
78,459.0
78,254.0
78,229.0
78,294.0
78,251.0
79,734.0
79,55.0
79,60.0
79,197.0
79,34.0
80,341.0
80,-50.0
80,93.0
80,514.0
80,47.0
81,240.0
81,-231.0
81,194.0
81,-69.0
81,-272.0
82,137.0
82,-416.0
82,55.0
82,52.0
82,-75.0
83,252.0
83,-253.0
83,136.0
84,-27.0
84,-58.0
84,-215.0
85,-404.0
85,-323.0
85,256.0
85,-209.0
86,-222.0
86,-91.0
86,62.0
86,-131.0
87,-302.0
87,-9.0
87,-572.0
87,103.0
87,246.0
88,-341.0
88,-110.0
88,-575.0
88,-190.0
88,71.0
89,-118.0
89,-25.0
89,-602.0
90,-127.0
90,350.0
90,-457.0
90,52.0
91,-217.0
91,-18.0
91,131.0
91,-348.0
92,63.0
92,-382.0
92,-501.0
92,-290.0
92,-361.0
93,-380.0
93,-281.0
93,-176.0
93,-347.0
94,-478.0
94,-559.0
94,-536.0
94,-493.0
95,-170.0
95,-267.0
95,-332.0
95,-773.0
96,-370.0
96,-213.0
96,-1122.0
96,-491.0
97,-672.0
97,-513.0
97,-226.0
97,-1131.0
97,-780.0
98,-745.0
98,-804.0
98,-615.0
98,-998.0
98,-941.0
99,-1244.0
99,-781.0
99,-922.0
100,-701.0
100,-780.0
100,-865.0
101,-768.0
101,-587.0
101,-734.0
101,-563.0
102,-936.0
102,-567.0
102,-106.0
103,-1133.0
103,-386.0
103,-1075.0
103,-486.0
104,-585.0
104,-678.0
104,-687.0
105,-770.0
105,-1005.0
105,-500.0
105,-859.0
106,-656.0
106,-993.0
106,-822.0
107,-327.0
107,-960.0
107,-703.0
107,-882.0
108,-821.0
108,-344.0
108,-635.0
108,-636.0
109,-485.0
109,-412.0
109,-571.0
109,-734.0
110,-499.0
110,-984.0
110,-781.0
110,-620.0
111,-267.0
111,-840.0
111,-807.0
111,-462.0
112,-545.0
113,-1142.0
113,-885.0
114,-664.0
114,-665.0
114,-602.0
115,-737.0
115,-664.0
115,-637.0
116,-814.0
116,-273.0
116,-906.0
117,-781.0
117,-532.0
117,-543.0
118,-628.0
118,-679.0
118,-664.0
119,-729.0
119,-584.0
119,-661.0
119,-864.0
120,-715.0
120,-704.0
120,-511.0
120,-646.0
121,-911.0
121,-458.0
122,-983.0
122,-648.0
122,-583.0
123,-882.0
123,-1003.0
123,-882.0
123,-833.0
123,-496.0
123,-1125.0
123,-1068.0
125,-859.0
125,-1086.0
125,-861.0
125,-740.0
125,-907.0
125,-526.0
126,-659.0
126,-630.0
126,-803.0
126,-946.0
126,-755.0
127,-1052.0
127,-679.0
127,-1098.0
127,-653.0
127,-768.0
128,-807.0
128,-598.0
128,-1045.0
128,-980.0
128,-745.0
129,-786.0
129,-297.0
129,-830.0
129,-927.0
129,-1054.0
130,-1221.0
130,-1008.0
130,-985.0
130,-946.0
130,-1107.0
131,-1000.0
131,-689.0
131,-1484.0
131,-1227.0
131,-860.0
132,-927.0
132,-316.0
132,-1091.0
132,-1256.0
133,-1157.0
133,-642.0
133,-913.0
133,-902.0
134,-763.0
134,-1062.0
134,-1207.0
135,-1024.0
135,-1411.0
135,-1282.0
136,-1141.0
136,-1112.0
136,-1045.0
136,-1372.0
137,-1069.0
137,-566.0
137,-1449.0
137,-958.0
138,-1465.0
138,-1318.0
138,-1229.0
138,-1376.0
139,-965.0
139,-1648.0
139,-847.0
139,-470.0
139,-937.0
140,-452.0
140,-1103.0
140,-1460.0
140,-1121.0
140,-1298.0
141,-661.0
141,-1334.0
141,-851.0
141,-902.0
142,-1505.0
142,-984.0
142,-1471.0
143,-1068.0
143,-1273.0
143,-1458.0
143,-837.0
143,-1220.0
144,-1005.0
144,-940.0
144,-1349.0
144,-894.0
144,-1325.0
145,-1138.0
145,-901.0
145,-1078.0
145,-745.0
146,-1170.0
146,-895.0
146,-958.0
147,-1507.0
147,-1058.0
147,-1195.0
147,-954.0
147,-1121.0
148,-772.0
148,-1055.0
148,-966.0
148,-701.0
149,-778.0
149,-1089.0
149,-730.0
150,-1143.0
150,-936.0
150,-1359.0
151,-864.0
151,-583.0
152,-1138.0
152,-733.0
152,-610.0
153,-701.0
153,-702.0
153,-949.0
153,-688.0
154,-583.0
154,-1028.0
154,-451.0
155,-1102.0
155,-883.0
155,-620.0
156,-925.0
156,-668.0
156,-1059.0
156,-760.0
157,-857.0
157,-932.0
157,-775.0
157,-944.0
158,-795.0
158,-968.0
158,-1277.0
158,-928.0
159,-1079.0
159,-802.0
160,-815.0
161,-1136.0
161,-1101.0
161,-1156.0
162,-1059.0
162,-1618.0
162,-1327.0
162,-904.0
163,-1155.0
163,-1266.0
163,-1081.0
164,-1766.0
164,-1583.0
164,-1504.0
164,-1005.0
165,-1486.0
165,-1397.0
165,-1056.0
166,-1809.0
166,-1530.0
166,-1233.0
166,-1880.0
167,-1475.0
167,-1738.0
167,-1603.0
168,-1528.0
168,-1803.0
168,-1406.0
169,-1783.0
169,-1722.0
169,-1567.0
170,-1816.0
170,-1515.0
170,-1342.0
170,-1551.0
171,-1122.0
171,-1831.0
171,-1550.0
171,-1589.0
172,-1232.0
172,-1407.0
172,-1788.0
177,-1845.0
189,-2032.0
197,-1857.0
210,-1540.0
218,-1853.0
230,-1370.0
238,-1757.0
251,-1392.0
259,-1225.0
267,-1646.0
279,-1529.0
288,-1818.0
300,-1905.0
308,-1316.0
320,-1545.0
329,-1400.0
341,-2057.0
349,-1782.0
357,-1931.0
369,-1714.0
378,-1665.0
390,-1858.0
398,-1909.0
410,-1222.0
419,-2073.0
427,-1534.0
439,-1559.0
447,-1626.0
460,-1769.0
468,-1670.0
480,-1585.0
488,-1644.0
501,-1577.0
509,-852.0
521,-1431.0
529,-1526.0
541,-1747.0
549,-1754.0
558,-1495.0
570,-2166.0
578,-1681.0
590,-1704.0
599,-1655.0
611,-1776.0
620,-1651.0
632,-1608.0
640,-1861.0
648,-1742.0
660,-1371.0
669,-1910.0
681,-1101.0
689,-1676.0
701,-1915.0
710,-1446.0
722,-1841.0
730,-1574.0
739,-1973.0
751,-1558.0
759,-1275.0
771,-1528.0
779,-1747.0
791,-2078.0
799,-1555.0
812,-998.0
820,-1729.0
828,-1542.0
841,-1673.0
849,-1956.0
861,-2047.0
870,-2148.0
882,-1881.0
890,-1552.0
898,-1505.0
911,-1374.0
919,-1965.0
931,-1328.0
939,-1591.0
951,-1582.0
960,-1271.0
972,-1642.0
980,-1431.0
988,-2150.0
1001,-1607.0
1009,-1678.0
1021,-1771.0
1029,-1560.0
1041,-1783.0
1050,-1700.0
1062,-1563.0
1070,-2018.0
1078,-2099.0
1091,-2012.0
1099,-1595.0
